Game,Player,ShotsTaken,HitsTaken,AccuracyRate
863,Player 2,3,0,0.00%
864,Player 1,26,17,65.38%
864,Player 2,6,0,0.00%
865,Player 1,28,17,60.71%
865,Player 2,11,1,9.09%
866,Player 1,43,17,39.53%
866,Player 2,27,4,14.81%
867,Player 1,24,17,70.83%
867,Player 2,6,0,0.00%
868,Player 1,26,17,65.38%
868,Player 2,8,0,0.00%
869,Player 1,31,17,54.84%
869,Player 2,17,4,23.53%
870,Player 1,23,17,73.91%
870,Player 2,3,0,0.00%
871,Player 1,26,5,19.23%
871,Player 2,39,17,43.59%
872,Player 1,24,17,70.83%
872,Player 2,7,1,14.29%
873,Player 1,27,17,62.96%
873,Player 2,9,0,0.00%
874,Player 1,26,17,65.38%
874,Player 2,8,0,0.00%
875,Player 1,27,17,62.96%
875,Player 2,9,1,11.11%
876,Player 1,34,7,20.59%
876,Player 2,44,17,38.64%
877,Player 1,26,17,65.38%
877,Player 2,7,0,0.00%
878,Player 1,26,17,65.38%
878,Player 2,16,8,50.00%
879,Player 1,28,17,60.71%
879,Player 2,8,0,0.00%
880,Player 1,21,17,80.95%
880,Player 2,5,1,20.00%
881,Player 1,24,17,70.83%
881,Player 2,11,5,45.45%
882,Player 1,26,17,65.38%
882,Player 2,13,5,38.46%
883,Player 1,25,17,68.00%
883,Player 2,9,2,22.22%
884,Player 1,32,17,53.13%
884,Player 2,20,7,35.00%
885,Player 1,22,17,77.27%
885,Player 2,5,0,0.00%
886,Player 1,26,17,65.38%
886,Player 2,11,3,27.27%
887,Player 1,29,17,58.62%
887,Player 2,9,0,0.00%
888,Player 1,56,17,30.36%
888,Player 2,53,14,26.42%
889,Player 1,25,17,68.00%
889,Player 2,7,0,0.00%
890,Player 1,33,17,51.52%
890,Player 2,24,8,33.33%
891,Player 1,27,17,62.96%
891,Player 2,17,8,47.06%
892,Player 1,27,17,62.96%
892,Player 2,8,0,0.00%
893,Player 1,24,17,70.83%
893,Player 2,4,0,0.00%
894,Player 1,25,17,68.00%
894,Player 2,6,0,0.00%
895,Player 1,25,17,68.00%
895,Player 2,16,9,56.25%
896,Player 1,25,17,68.00%
896,Player 2,12,6,50.00%
897,Player 1,25,17,68.00%
897,Player 2,13,6,46.15%
898,Player 1,26,17,65.38%
898,Player 2,13,6,46.15%
899,Player 1,27,17,62.96%
899,Player 2,11,4,36.36%
900,Player 1,48,16,33.33%
900,Player 2,49,17,34.69%
901,Player 1,33,17,51.52%
901,Player 2,24,11,45.83%
902,Player 1,24,17,70.83%
902,Player 2,6,0,0.00%
903,Player 1,32,17,53.13%
903,Player 2,20,5,25.00%
904,Player 1,29,17,58.62%
904,Player 2,13,3,23.08%
905,Player 1,25,17,68.00%
905,Player 2,13,5,38.46%
906,Player 1,27,17,62.96%
906,Player 2,8,0,0.00%
907,Player 1,24,17,70.83%
907,Player 2,16,11,68.75%
908,Player 1,20,17,85.00%
908,Player 2,2,0,0.00%
909,Player 1,22,17,77.27%
909,Player 2,2,0,0.00%
910,Player 1,40,17,42.50%
910,Player 2,38,14,36.84%
911,Player 1,25,17,68.00%
911,Player 2,9,3,33.33%
912,Player 1,22,17,77.27%
912,Player 2,4,2,50.00%
913,Player 1,25,17,68.00%
913,Player 2,6,1,16.67%
914,Player 1,29,17,58.62%
914,Player 2,16,4,25.00%
915,Player 1,27,17,62.96%
915,Player 2,19,10,52.63%
916,Player 1,24,17,70.83%
916,Player 2,9,5,55.56%
917,Player 1,23,17,73.91%
917,Player 2,14,9,64.29%
918,Player 1,29,17,58.62%
918,Player 2,11,0,0.00%
919,Player 1,25,17,68.00%
919,Player 2,15,8,53.33%
920,Player 1,30,17,56.67%
920,Player 2,23,12,52.17%
921,Player 1,25,17,68.00%
921,Player 2,12,5,41.67%
922,Player 1,25,17,68.00%
922,Player 2,7,0,0.00%
923,Player 1,30,17,56.67%
923,Player 2,22,10,45.45%
924,Player 1,26,4,15.38%
924,Player 2,40,17,42.50%
925,Player 1,22,17,77.27%
925,Player 2,5,1,20.00%
926,Player 1,32,17,53.13%
926,Player 2,28,14,50.00%
927,Player 1,20,17,85.00%
927,Player 2,2,1,50.00%
928,Player 1,27,17,62.96%
928,Player 2,11,2,18.18%
929,Player 1,25,17,68.00%
929,Player 2,6,0,0.00%
930,Player 1,29,17,58.62%
930,Player 2,17,8,47.06%
931,Player 1,57,11,19.30%
931,Player 2,63,17,26.98%
932,Player 1,23,17,73.91%
932,Player 2,4,0,0.00%
933,Player 1,23,17,73.91%
933,Player 2,13,8,61.54%
934,Player 1,27,17,62.96%
934,Player 2,17,8,47.06%
935,Player 1,22,17,77.27%
935,Player 2,9,5,55.56%
936,Player 1,41,17,41.46%
936,Player 2,38,12,31.58%
937,Player 1,29,17,58.62%
937,Player 2,17,5,29.41%
938,Player 1,23,17,73.91%
938,Player 2,5,0,0.00%
939,Player 1,28,17,60.71%
939,Player 2,16,5,31.25%
940,Player 1,23,17,73.91%
940,Player 2,10,5,50.00%
941,Player 1,31,17,54.84%
941,Player 2,12,0,0.00%
942,Player 1,20,17,85.00%
942,Player 2,2,0,0.00%
943,Player 1,23,17,73.91%
943,Player 2,2,0,0.00%
944,Player 1,33,17,51.52%
944,Player 2,21,7,33.33%
945,Player 1,28,17,60.71%
945,Player 2,10,0,0.00%
946,Player 1,44,17,38.64%
946,Player 2,33,7,21.21%
947,Player 1,36,17,47.22%
947,Player 2,33,13,39.39%
948,Player 1,27,17,62.96%
948,Player 2,7,0,0.00%
